page,id,address,pointName,taxonCount,userId,username,startTime,endTime
3,2130067,江苏省苏州市苏州工业园区白塘生态植物园,白塘生态植物园,1,92333,吴亦诚,2026-05-31 11:30,2026-05-31 12:30
3,2130062,福建省厦门市思明区东山水库,东山水库,22,65646,lasiatt,2026-05-31 06:20,2026-05-31 08:07
3,2130061,新疆维吾尔自治区塔城地区沙湾市千泉湖水库,千泉湖水库,24,15270,花九橘灯,2026-06-02 19:00,2026-06-02 20:00
3,2130060,新疆维吾尔自治区塔城地区沙湾县石河子蘑菇湖,石河子蘑菇湖,22,15270,花九橘灯,2026-06-02 17:00,2026-06-02 18:00
3,2130059,新疆维吾尔自治区塔城地区沙湾市西戈壁镇,西戈壁镇,6,15270,花九橘灯,2026-06-02 12:00,2026-06-02 13:00
3,2130058,新疆维吾尔自治区塔城地区沙湾县玛纳斯河河谷 ,玛纳斯河河谷 ,27,15270,花九橘灯,2026-06-02 06:00,2026-06-02 07:00
3,2130057,新疆维吾尔自治区塔城地区额敏县铁厂沟农田牧场,铁厂沟农田牧场,28,63887,wuk,2026-06-02 10:00,2026-06-02 11:00
3,2130056,新疆维吾尔自治区石河子市十户窑村,十户窑村,20,15270,花九橘灯,2026-06-02 06:00,2026-06-02 07:00
3,2130055,浙江省丽水市遂昌县遂昌县黄沙腰镇大岩前,遂昌县黄沙腰镇大岩前,28,28503,胡九九啊,2026-06-02 14:00,2026-06-02 15:00
3,2130053,新疆维吾尔自治区塔城地区沙湾县石河子蘑菇湖,石河子蘑菇湖,22,26140,Addict,2026-06-02 17:00,2026-06-02 18:00
4,2130067,江苏省苏州市苏州工业园区白塘生态植物园,白塘生态植物园,1,92333,吴亦诚,2026-05-31 11:30,2026-05-31 12:30
4,2130062,福建省厦门市思明区东山水库,东山水库,22,65646,lasiatt,2026-05-31 06:20,2026-05-31 08:07
4,2130061,新疆维吾尔自治区塔城地区沙湾市千泉湖水库,千泉湖水库,24,15270,花九橘灯,2026-06-02 19:00,2026-06-02 20:00
4,2130060,新疆维吾尔自治区塔城地区沙湾县石河子蘑菇湖,石河子蘑菇湖,22,15270,花九橘灯,2026-06-02 17:00,2026-06-02 18:00
4,2130059,新疆维吾尔自治区塔城地区沙湾市西戈壁镇,西戈壁镇,6,15270,花九橘灯,2026-06-02 12:00,2026-06-02 13:00
4,2130058,新疆维吾尔自治区塔城地区沙湾县玛纳斯河河谷 ,玛纳斯河河谷 ,27,15270,花九橘灯,2026-06-02 06:00,2026-06-02 07:00
4,2130057,新疆维吾尔自治区塔城地区额敏县铁厂沟农田牧场,铁厂沟农田牧场,28,63887,wuk,2026-06-02 10:00,2026-06-02 11:00
4,2130056,新疆维吾尔自治区石河子市十户窑村,十户窑村,20,15270,花九橘灯,2026-06-02 06:00,2026-06-02 07:00
4,2130055,浙江省丽水市遂昌县遂昌县黄沙腰镇大岩前,遂昌县黄沙腰镇大岩前,28,28503,胡九九啊,2026-06-02 14:00,2026-06-02 15:00
4,2130053,新疆维吾尔自治区塔城地区沙湾县石河子蘑菇湖,石河子蘑菇湖,22,26140,Addict,2026-06-02 17:00,2026-06-02 18:00
5,2130067,江苏省苏州市苏州工业园区白塘生态植物园,白塘生态植物园,1,92333,吴亦诚,2026-05-31 11:30,2026-05-31 12:30
5,2130062,福建省厦门市思明区东山水库,东山水库,22,65646,lasiatt,2026-05-31 06:20,2026-05-31 08:07
5,2130061,新疆维吾尔自治区塔城地区沙湾市千泉湖水库,千泉湖水库,24,15270,花九橘灯,2026-06-02 19:00,2026-06-02 20:00
5,2130060,新疆维吾尔自治区塔城地区沙湾县石河子蘑菇湖,石河子蘑菇湖,22,15270,花九橘灯,2026-06-02 17:00,2026-06-02 18:00
5,2130059,新疆维吾尔自治区塔城地区沙湾市西戈壁镇,西戈壁镇,6,15270,花九橘灯,2026-06-02 12:00,2026-06-02 13:00
5,2130058,新疆维吾尔自治区塔城地区沙湾县玛纳斯河河谷 ,玛纳斯河河谷 ,27,15270,花九橘灯,2026-06-02 06:00,2026-06-02 07:00
5,2130057,新疆维吾尔自治区塔城地区额敏县铁厂沟农田牧场,铁厂沟农田牧场,28,63887,wuk,2026-06-02 10:00,2026-06-02 11:00
5,2130056,新疆维吾尔自治区石河子市十户窑村,十户窑村,20,15270,花九橘灯,2026-06-02 06:00,2026-06-02 07:00
5,2130055,浙江省丽水市遂昌县遂昌县黄沙腰镇大岩前,遂昌县黄沙腰镇大岩前,28,28503,胡九九啊,2026-06-02 14:00,2026-06-02 15:00
5,2130053,新疆维吾尔自治区塔城地区沙湾县石河子蘑菇湖,石河子蘑菇湖,22,26140,Addict,2026-06-02 17:00,2026-06-02 18:00
6,2130067,江苏省苏州市苏州工业园区白塘生态植物园,白塘生态植物园,1,92333,吴亦诚,2026-05-31 11:30,2026-05-31 12:30
6,2130062,福建省厦门市思明区东山水库,东山水库,22,65646,lasiatt,2026-05-31 06:20,2026-05-31 08:07
6,2130061,新疆维吾尔自治区塔城地区沙湾市千泉湖水库,千泉湖水库,24,15270,花九橘灯,2026-06-02 19:00,2026-06-02 20:00
6,2130060,新疆维吾尔自治区塔城地区沙湾县石河子蘑菇湖,石河子蘑菇湖,22,15270,花九橘灯,2026-06-02 17:00,2026-06-02 18:00
6,2130059,新疆维吾尔自治区塔城地区沙湾市西戈壁镇,西戈壁镇,6,15270,花九橘灯,2026-06-02 12:00,2026-06-02 13:00
6,2130058,新疆维吾尔自治区塔城地区沙湾县玛纳斯河河谷 ,玛纳斯河河谷 ,27,15270,花九橘灯,2026-06-02 06:00,2026-06-02 07:00
6,2130057,新疆维吾尔自治区塔城地区额敏县铁厂沟农田牧场,铁厂沟农田牧场,28,63887,wuk,2026-06-02 10:00,2026-06-02 11:00
6,2130056,新疆维吾尔自治区石河子市十户窑村,十户窑村,20,15270,花九橘灯,2026-06-02 06:00,2026-06-02 07:00
6,2130055,浙江省丽水市遂昌县遂昌县黄沙腰镇大岩前,遂昌县黄沙腰镇大岩前,28,28503,胡九九啊,2026-06-02 14:00,2026-06-02 15:00
6,2130053,新疆维吾尔自治区塔城地区沙湾县石河子蘑菇湖,石河子蘑菇湖,22,26140,Addict,2026-06-02 17:00,2026-06-02 18:00
7,2130067,江苏省苏州市苏州工业园区白塘生态植物园,白塘生态植物园,1,92333,吴亦诚,2026-05-31 11:30,2026-05-31 12:30
7,2130062,福建省厦门市思明区东山水库,东山水库,22,65646,lasiatt,2026-05-31 06:20,2026-05-31 08:07
7,2130061,新疆维吾尔自治区塔城地区沙湾市千泉湖水库,千泉湖水库,24,15270,花九橘灯,2026-06-02 19:00,2026-06-02 20:00
7,2130060,新疆维吾尔自治区塔城地区沙湾县石河子蘑菇湖,石河子蘑菇湖,22,15270,花九橘灯,2026-06-02 17:00,2026-06-02 18:00
7,2130059,新疆维吾尔自治区塔城地区沙湾市西戈壁镇,西戈壁镇,6,15270,花九橘灯,2026-06-02 12:00,2026-06-02 13:00
7,2130058,新疆维吾尔自治区塔城地区沙湾县玛纳斯河河谷 ,玛纳斯河河谷 ,27,15270,花九橘灯,2026-06-02 06:00,2026-06-02 07:00
7,2130057,新疆维吾尔自治区塔城地区额敏县铁厂沟农田牧场,铁厂沟农田牧场,28,63887,wuk,2026-06-02 10:00,2026-06-02 11:00
7,2130056,新疆维吾尔自治区石河子市十户窑村,十户窑村,20,15270,花九橘灯,2026-06-02 06:00,2026-06-02 07:00
7,2130055,浙江省丽水市遂昌县遂昌县黄沙腰镇大岩前,遂昌县黄沙腰镇大岩前,28,28503,胡九九啊,2026-06-02 14:00,2026-06-02 15:00
7,2130053,新疆维吾尔自治区塔城地区沙湾县石河子蘑菇湖,石河子蘑菇湖,22,26140,Addict,2026-06-02 17:00,2026-06-02 18:00
8,2130067,江苏省苏州市苏州工业园区白塘生态植物园,白塘生态植物园,1,92333,吴亦诚,2026-05-31 11:30,2026-05-31 12:30
8,2130062,福建省厦门市思明区东山水库,东山水库,22,65646,lasiatt,2026-05-31 06:20,2026-05-31 08:07
8,2130061,新疆维吾尔自治区塔城地区沙湾市千泉湖水库,千泉湖水库,24,15270,花九橘灯,2026-06-02 19:00,2026-06-02 20:00
8,2130060,新疆维吾尔自治区塔城地区沙湾县石河子蘑菇湖,石河子蘑菇湖,22,15270,花九橘灯,2026-06-02 17:00,2026-06-02 18:00
8,2130059,新疆维吾尔自治区塔城地区沙湾市西戈壁镇,西戈壁镇,6,15270,花九橘灯,2026-06-02 12:00,2026-06-02 13:00
8,2130058,新疆维吾尔自治区塔城地区沙湾县玛纳斯河河谷 ,玛纳斯河河谷 ,27,15270,花九橘灯,2026-06-02 06:00,2026-06-02 07:00
8,2130057,新疆维吾尔自治区塔城地区额敏县铁厂沟农田牧场,铁厂沟农田牧场,28,63887,wuk,2026-06-02 10:00,2026-06-02 11:00
8,2130056,新疆维吾尔自治区石河子市十户窑村,十户窑村,20,15270,花九橘灯,2026-06-02 06:00,2026-06-02 07:00
8,2130055,浙江省丽水市遂昌县遂昌县黄沙腰镇大岩前,遂昌县黄沙腰镇大岩前,28,28503,胡九九啊,2026-06-02 14:00,2026-06-02 15:00
8,2130053,新疆维吾尔自治区塔城地区沙湾县石河子蘑菇湖,石河子蘑菇湖,22,26140,Addict,2026-06-02 17:00,2026-06-02 18:00
9,2130067,江苏省苏州市苏州工业园区白塘生态植物园,白塘生态植物园,1,92333,吴亦诚,2026-05-31 11:30,2026-05-31 12:30
9,2130062,福建省厦门市思明区东山水库,东山水库,22,65646,lasiatt,2026-05-31 06:20,2026-05-31 08:07
9,2130061,新疆维吾尔自治区塔城地区沙湾市千泉湖水库,千泉湖水库,24,15270,花九橘灯,2026-06-02 19:00,2026-06-02 20:00
9,2130060,新疆维吾尔自治区塔城地区沙湾县石河子蘑菇湖,石河子蘑菇湖,22,15270,花九橘灯,2026-06-02 17:00,2026-06-02 18:00
9,2130059,新疆维吾尔自治区塔城地区沙湾市西戈壁镇,西戈壁镇,6,15270,花九橘灯,2026-06-02 12:00,2026-06-02 13:00
9,2130058,新疆维吾尔自治区塔城地区沙湾县玛纳斯河河谷 ,玛纳斯河河谷 ,27,15270,花九橘灯,2026-06-02 06:00,2026-06-02 07:00
9,2130057,新疆维吾尔自治区塔城地区额敏县铁厂沟农田牧场,铁厂沟农田牧场,28,63887,wuk,2026-06-02 10:00,2026-06-02 11:00
9,2130056,新疆维吾尔自治区石河子市十户窑村,十户窑村,20,15270,花九橘灯,2026-06-02 06:00,2026-06-02 07:00
9,2130055,浙江省丽水市遂昌县遂昌县黄沙腰镇大岩前,遂昌县黄沙腰镇大岩前,28,28503,胡九九啊,2026-06-02 14:00,2026-06-02 15:00
9,2130053,新疆维吾尔自治区塔城地区沙湾县石河子蘑菇湖,石河子蘑菇湖,22,26140,Addict,2026-06-02 17:00,2026-06-02 18:00
10,2130067,江苏省苏州市苏州工业园区白塘生态植物园,白塘生态植物园,1,92333,吴亦诚,2026-05-31 11:30,2026-05-31 12:30
10,2130062,福建省厦门市思明区东山水库,东山水库,22,65646,lasiatt,2026-05-31 06:20,2026-05-31 08:07
10,2130061,新疆维吾尔自治区塔城地区沙湾市千泉湖水库,千泉湖水库,24,15270,花九橘灯,2026-06-02 19:00,2026-06-02 20:00
10,2130060,新疆维吾尔自治区塔城地区沙湾县石河子蘑菇湖,石河子蘑菇湖,22,15270,花九橘灯,2026-06-02 17:00,2026-06-02 18:00
10,2130059,新疆维吾尔自治区塔城地区沙湾市西戈壁镇,西戈壁镇,6,15270,花九橘灯,2026-06-02 12:00,2026-06-02 13:00
10,2130058,新疆维吾尔自治区塔城地区沙湾县玛纳斯河河谷 ,玛纳斯河河谷 ,27,15270,花九橘灯,2026-06-02 06:00,2026-06-02 07:00
10,2130057,新疆维吾尔自治区塔城地区额敏县铁厂沟农田牧场,铁厂沟农田牧场,28,63887,wuk,2026-06-02 10:00,2026-06-02 11:00
10,2130056,新疆维吾尔自治区石河子市十户窑村,十户窑村,20,15270,花九橘灯,2026-06-02 06:00,2026-06-02 07:00
10,2130055,浙江省丽水市遂昌县遂昌县黄沙腰镇大岩前,遂昌县黄沙腰镇大岩前,28,28503,胡九九啊,2026-06-02 14:00,2026-06-02 15:00
10,2130053,新疆维吾尔自治区塔城地区沙湾县石河子蘑菇湖,石河子蘑菇湖,22,26140,Addict,2026-06-02 17:00,2026-06-02 18:00
